-2;NR
900;Brest métropole
920;Syndicat du Cranou
921;Syndicat du Spernel
922;SIDEP
923;Syndicat de Keranc'Hoat
924;Syndicat de Pont an Ilis
925;Syndicat de Plouider
926;Syndicat de Kermorvan
927;Syndicat du Chenal du four
999;Privé
931;Syndicat tpt daoulas smaep
993;Société privée ex ent privée camping goulet
994;Asso Creach Burguy
995;Asso Poulrinou
996;Asso Kermeur Saint Yves - idem Douvez
997;Asso Dorguen
998;Asso Plouzané
1002;Syndicat du Bas Léon
1003;Commune de La Forest Landerneau
1004;Commune de L'Hopital-Camfrout
1010;Commune de Logonna-Daoulas
1012;Commune de Pencran
1013;Commune de Plabennec
1014;Commune de Ploudaniel
1016;DCNS
1017;Commune de Saint-Urbain
1020;Commune de Lanrivoaré
1021;Commune du Tréhou
1022;Commune d'Irvillac
1024;Commune de Milizac
1025;Commune de Saint Renan
1026;Syndicat Lampaul-Ploudalmézeau et Saint-Pabu
2001;Commune de Locmaria-Plouzané
2002;SIAC Le Conquet-Plougonvelin-Trébabu
2006;Commune de La Roche-Maurice
2007;Commune de Daoulas
2008;SIALLP
2009;Commune de Hanvec
2010;Commune de Loperhet
2011;Commune de Ploumoguer
2012;Commune de Landerneau
2013;Commune de Plouédern
2014;Commune de Trémaouézan
2016;Commune de Dirinon
2017;Commune de Le Faou
2018;Commune de Lampaul-Plouarzel
2019;Commune de Plouarzel
2020;Commune de Brélès
2021;Commune de Plourin
2029;Commune de Kersaint-Plabennec
2030;Commune de Saint-Thonan
2031;Commune de Ploudalmézeau
2032;Commune de Plouider
2033;Commune de Argol
2034;Commune de Bohars
2035;Commune de Bourg-Blanc
2036;Commune de Brest
2037;Commune de Brignogan-Plage
2038;Commune de Camaret-sur-Mer
2039;Commune de Coat-Meal
2040;Commune du Conquet
2041;Commune de Crozon
2042;Commune du Drennec
2043;Commune du Folgoët
2044;Commune de Gouesnou
2045;Commune de Goulven
2046;Commune de Guilers
2047;Commune de Guipavas
2048;Commune de Guipronvel
2049;Commune de Guisseny
2050;Commune de Ile-Moléne
2051;Commune de Kerlouan
2052;Commune de Kernilis
2053;Commune de Kernoues
2054;Commune de Lampaul-Ploudalmézeau
2055;Commune de Lanarvily
2056;Commune de Landéda
2057;Commune de Landevennec
2058;Commune de Landunvez
2059;Commune de Lanildut
2060;Commune de Lanneuffret
2061;Commune de Lannilis
2062;Commune de Lanvéoc
2063;Commune de Lesneven
2064;Commune de Loc-Brévalaire
2065;Commune de La Martyre
2066;Commune de Ploudiry
2067;Commune de Plougastel-Daoulas
2068;Commune de Plougonvelin
2069;Commune de Plouguerneau
2070;Commune de Plouguin
2071;Commune de Plounéour-Trez
2072;Commune de Plouvien
2073;Commune de Plouzané
2074;Commune de Porspoder
2075;Commune du Relecq-Kerhuon
2076;Commune de Roscanvel
2077;Commune de Rosnoen
2078;Commune de Saint-Divy
2079;Commune de Saint-Eloy
2080;Commune de Saint-Fregant
2081;Commune de Saint-Meen
2082;Commune de Saint-Pabu
2083;Commune de Saint-Ségal
2084;Commune de Telgruc-sur-Mer
2085;Commune de Trébabu
2086;Commune de Tréflévénez
2087;Commune de Trégarantec
2088;Commune de Tréglonou
2089;Commune de Tréouergat
2090;Commune de Pont-de-Buis-lès-Quimerc'h
2091;C.C. de l'Aulne Maritime
2092;C.C. de la Presqu'île de Crozon
2093;C.C. du Pays d'Iroise
2094;C.C. du Pays de Landerneau-Daoulas
2095;C.C. du Pays des Abers
2096;C.C. du Pays de Lesneven-Côte des Légendes
2097;ECB Eco chaleur de Brest
2098;Syndicat Intercommunal du Plateau de Ploudiry
2099;C.C. de Châteaulin-Pleyben-Porzay
2100; Commune de Plounéour-Brignogan-plages
2101;Commune de Cast
2102;Commune de Châteaulin
2103;Commune de Le Cloitre-Pleyben
2104;Commune de Dinéault
2105;Commune de Gouézec
2106;Commune de Lannedern
2107;Commune de Lennon
2108;Commune de Lothey
2109;Commune de Pleyben
2110;Commune de Ploeven
2111;Commune de Plomodiern
2112;Commune de Plonévez-Porzay
2113;Commune de Port-Launay
2114;Commune de Saint-Coulitz
2115;Commune de Saint-Nic
2116;Commune de Trégarvan
2117;Syndicat mixte de l’Aulne
